Brand Name,Generic Name,Drug Uses**,,
Misoprostol,Misoprostol,"This medication is used to prevent stomach ulcers while you take NSAIDs (such as aspirin, ibuprofen, naproxen), especially if you are at risk for developing ulcers or have a history of ulcers. Misoprostol helps to decrease your risk of serious ulcer complications such as bleeding. This medication protects your stomach lining by lowering the amount of acid that comes in contact with it. This medication is also used in combination with another drug (mifepristone) to end a pregnancy. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mitigare,Colchicine,"This medication is used to prevent or treat gout attacks (flares). Usually gout symptoms develop suddenly and involve only one or a few joints. The big toe, knee, or ankle joints are most often affected. Gout is caused by too much uric acid in the blood. When uric acid levels in the blood are too high, the uric acid may form hard crystals in your joints. Colchicine works by decreasing swelling and lessening the build up of uric acid crystals that cause pain in the affected joint(s). This medication is also used to prevent attacks of pain in the abdomen, chest, or joints caused by a certain inherited disease (familial Mediterranean fever). It is thought to work by decreasing your body's production of a certain protein (amyloid A) that builds up in people with familial Mediterranean fever. Colchicine is not a pain medication and should not be used to relieve other causes of pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mitigo,Morphine Sulfate/PF,"This medication is used to treat severe pain. Morphine belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mitomycin,Mitomycin,"Mitomycin is used to treat various types of cancer (such as stomach/pancreas cancer). It works by slowing or stopping the growth of cancer cells. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Modafinil,Modafinil,"Modafinil reduces extreme sleepiness due to narcolepsy and other sleep disorders, such as periods of stopped breathing during sleep (obstructive sleep apnea). It is also used to help you stay awake during work hours if you have a work schedule that keeps you from having a normal sleep routine (shift work sleep disorder). This medication does not cure these sleep disorders and may not get rid of all your sleepiness. Modafinil does not take the place of getting enough sleep. It should not be used to treat tiredness or hold off sleep in people who do not have a sleep disorder. It is not known how modafinil works to keep you awake. It is thought to work by affecting certain substances in the brain that control the sleep/wake cycle. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Moexipril HCl,Moexipril HCl,"Moexipril is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Moexipril belongs to a class of drugs known as ACE inhibitors. It works by relaxing blood vessels so blood can flow more easily. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Molindone HCl,Molindone HCl,"This medication is used to treat certain mental/mood disorders (such as schizophrenia). Molindone belongs to a class of drugs known as antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mometasone Furoate*,Mometasone Furoate,"This medication is used to treat skin conditions such as eczema, psoriasis, allergies, and rash. Mometasone decreases swelling (inflammation), itching, and redness. Mometasone is a medium-strength corticosteroid. This medication is available in several forms including cream, ointment, and lotion (solution). Your doctor will choose the type of product based on the skin condition/area of the body being treated. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Monjuvi,Tafasitamab-Cxix,"This medication is used to treat a certain type of cancer (diffuse large B-cell lymphoma). Tafasitamab belongs to a class of drugs known as monoclonal antibodies. It works by slowing or stopping the growth of cancer cells. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mono-Linyah,Norgestimate-Ethinyl Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Monoject,"Syringe-Needle,Insulin,0.5 Ml",Drug uses not available,,
Monoject Insulin Safety Syrng,"Syringe With Needle, Insulin",Drug uses not available,,
Monoject Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Drug uses not available,,
Monoject Insulin Syringe,"Syringe And Needle,Insulin,1ml",Drug uses not available,,
Monoject Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",Drug uses not available,,
Montelukast Sodium,Montelukast Sodium,"Montelukast is used to control and prevent symptoms caused by asthma (such as wheezing and shortness of breath). It is also used before exercise to prevent breathing problems during exercise (bronchospasm). This medication can help decrease the number of times you need to use your quick relief inhaler. Montelukast is also used to relieve symptoms of hay fever and allergic rhinitis (such as sneezing, stuffy/runny/itchy nose). Since there are other allergy medications that may be safer (see also Warning section), this medication should be used for this condition only when you cannot take other allergy medications or they do not work well. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks or breathing problems. If an asthma attack or sudden shortness of breath occurs, use your quick-relief inhaler as prescribed. This drug works by blocking certain natural substances (leukotrienes) that may cause or worsen asthma and allergies. It helps make breathing easier by reducing swelling (inflammation) in the airways. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Monurol,Fosfomycin Tromethamine,"This medication is an antibiotic used to treat bladder infections (such as acute cystitis or lower urinary tract infections) in women. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. Fosfomycin should not be used to treat infections outside the bladder (such as kidney infections). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Morphine Sulfate ER,Morphine Sulfate,"This medication is used to help relieve severe ongoing pain (such as due to cancer). Morphine belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. The higher strengths of this drug (100 milligrams or more per tablet) should be used only if you have been regularly taking moderate to large amounts of opioid pain medications. These strengths may cause overdose (even death) if taken by a person who has not been regularly taking opioids. Do not use the extended-release form of morphine to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Morphine Sulfate*,Morphine Sulfate,"This medication is used to help relieve moderate to severe pain. Morphine belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Motegrity,Prucalopride Succinate,"This medication is used to treat chronic constipation. It is used when other medications used to treat constipation (such as laxatives) have not provided relief. Prucalopride works by improving how well your stomach and intestines move food through the bowels during digestion. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Motofen,Difenoxin HCl/Atropine Sulfate,"This medication is used to treat diarrhea. It helps to decrease the number and frequency of bowel movements. It works by slowing the movement of the intestines. Difenoxin is similar to opioid pain relievers, but it acts mainly to slow the gut. Atropine belongs to a class of drugs known as anticholinergics, which help to dry up body fluids and also slow gut movement. This medication should not be used to treat diarrhea caused by certain types of infection (such as C. difficile-associated diarrhea following antibiotic therapy). Talk to your doctor for more details. This drug is not recommended for use in children younger than 2 years due to an increased risk of very serious side effects. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mounjaro,Tirzepatide,"Tirzepatide is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. It lowers blood sugar by causing the release of your body's natural insulin and decreasing the amount of sugar your liver makes. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Movantik,Naloxegol Oxalate,"This medication is used to treat constipation caused by opioid medications in people with ongoing pain that is not caused by cancer. It blocks the effect of opioids on the gut without blocking the effect on pain. Naloxegol belongs to a class of drugs known as opioid antagonists. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Moviprep,PEG3350/Sod Sul/NaCl/KCl/Asb/C,"PEG (polyethylene glycol) with electrolyte is used to clean out the intestines before certain bowel exam procedures such as colonoscopy or barium enema X-rays. It is a laxative that works by drawing large amounts of water into the colon. This effect results in watery bowel movements. Clearing stool from the intestines helps your doctor to better examine the intestines during your procedure. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Moxifloxacin,Moxifloxacin HCl,"This medication is a quinolone antibiotic used for eye infections. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Moxifloxacin,Moxifloxacin-Sod.Chloride(Iso),"This medication is used to treat a variety of bacterial infections. Moxifloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. Moxifloxacin injection is used when you cannot take the medication by mouth. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Moxifloxacin,"Moxifloxacin/Sod.Ace,Sul/Water","This medication is used to treat a variety of bacterial infections. Moxifloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. Moxifloxacin injection is used when you cannot take the medication by mouth. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Moxifloxacin HCl,Moxifloxacin HCl,"Moxifloxacin is used to treat a variety of bacterial infections. This medication belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for virus infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mozobil,Plerixafor,"Plerixafor is used by patients with certain types of cancer (non-Hodgkin's lymphoma-NHL, multiple myeloma-MM) to prepare them for stem cell transplant. Stem cells, which are found mainly in the bone marrow, turn into red blood cells, white blood cells, and platelets. Plerixafor is used to help stem cells move from the bone marrow to the bloodstream so that the cells can be collected and stored. The stem cells are then infused back into the patient after chemotherapy or radiation. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Ms Contin,Morphine Sulfate,"This medication is used to help relieve severe ongoing pain (such as due to cancer). Morphine belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. The higher strengths of this drug (100 milligrams or more per tablet) should be used only if you have been regularly taking moderate to large amounts of opioid pain medications. These strengths may cause overdose (even death) if taken by a person who has not been regularly taking opioids. Do not use the extended-release form of morphine to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mulpleta,Lusutrombopag,"This medication is used by people with chronic liver disease and a certain blood disorder (low platelet count) who are scheduled to have a medical or dental procedure. Having a low platelet count increases the risk of too much bleeding during certain procedures. This medication increases the production of platelets by your body to help prevent too much bleeding from the procedure. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Multaq,Dronedarone HCl,"This medication is used if you have had certain types of irregular heartbeat (paroxysmal or persistent atrial fibrillation) in the past but now have a normal heart rhythm. It helps you keep a normal heart rhythm and lowers your chance of having to go to the hospital for atrial fibrillation. Dronedarone is known as an antiarrhythmic drug. This medication should not be used if you have permanent atrial fibrillation because of the increased risk of very serious side effects. See also Warning section. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Multi-Vitamin W-Fluoride-Iron,Pedi Multivit 45/Fluoride/Iron,"This medication is a combination product of vitamins, iron, and fluoride. It is used in infants and children to treat or prevent deficiency due to poor diet or low levels of fluoride in drinking water and other sources. Vitamins are important building blocks of the body and help keep you in good health. Iron is an important mineral that the body needs to make red blood cells. Fluoride is used to prevent dental cavities. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Multivitamin With Fluoride,Pedi Multivit No.17 W-Fluoride,"This medication is a combination product of vitamins and fluoride. It is used by children to treat or prevent deficiency due to poor diet or low levels of fluoride in drinking water and other sources. Vitamins are important building blocks of the body and help keep you in good health. Fluoride is used to prevent dental cavities. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Multivitamin With Fluoride,Pedi Multivit No.2 W-Fluoride,"This medication is a combination product of vitamins and fluoride. It is used in infants and children to treat or prevent deficiency due to poor diet or low levels of fluoride in drinking water and other sources. Vitamins are important building blocks of the body and help keep you in good health. Fluoride is used to prevent dental cavities. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mupirocin,Mupirocin,"Mupirocin is used to treat certain skin infections (such as impetigo). It is an antibiotic. It works by stopping the growth of certain bacteria. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mupirocin,Mupirocin Calcium,"Mupirocin is used to treat infected cuts or wounds. It is an antibiotic. It works by stopping the growth of certain bacteria. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mvasi,Bevacizumab-Awwb,"This medication is a man-made antibody (IgG1) used to treat various types of cancer. This drug works by blocking a certain protein (vascular endothelial growth factor-VEGF) thereby decreasing the blood supply to the tumor and slowing tumor growth. This monograph is about the following bevacizumab products: bevacizumab, bevacizumab-adcd, bevacizumab-awwb, bevacizumab-bvzr, and bevacizumab-maly. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Myalept,Metreleptin,Drug uses not available,,
Myambutol,Ethambutol HCl,"Ethambutol is used with other medications to treat tuberculosis (TB). Ethambutol is an antibiotic and works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mycamine,Micafungin Sodium,"This medication is used to treat a variety of fungal infections. It is also used to prevent fungal infections in patients who are having a stem cell transplant. Micafungin belongs to a class of drugs known as echinocandins. It works by stopping the growth of fungi. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mycapssa,Octreotide Acetate,"Octreotide is used to treat a certain condition (acromegaly) that occurs when the body makes too much of a certain natural substance called growth hormone. Treating acromegaly helps reduce the risk of serious problems such as diabetes and heart disease. Octreotide works by decreasing how much growth hormone your body makes. This drug is not a cure for acromegaly. This medication is usually used with other treatment (such as surgery, radiation, other drugs). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mycobutin,Rifabutin,"This medication is used alone or with another medication to help prevent a certain serious infection (Mycobacterium avium complex-MAC). Rifabutin is known as a rifamycin antibiotic. It works by stopping the growth of bacteria. This antibiotic treats and prevents only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mycophenolate Mofetil,Mycophenolate Mofetil,"Mycophenolate is used in combination with other medications to keep your body from attacking and rejecting your transplanted organ (such as kidney, liver, heart). It belongs to a class of medications called immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new organ as if it were your own. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mycophenolic Acid,Mycophenolate Sodium,"Mycophenolate is used in combination with other medications to keep your body from attacking and rejecting your transplanted kidney. It belongs to a class of medications called immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new kidney as if it were your own. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Mydayis,Dextroamphetamine/Amphetamine,"This combination medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine/dextroamphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Myfembree,Relugolix/Estradiol/Norethindr,"This medication is a combination of 3 ingredients: relugolix, estradiol, and norethindrone. It is used by women who have not gone through menopause to help manage heavy menstrual bleeding due to uterine fibroids or pain due to endometriosis. Relugolix works by decreasing your body's production of certain hormones (luteinizing hormone, follicle-stimulating hormone), which leads to lower amounts of female sex hormones (estrogens). Estradiol is used to decrease bone loss caused by relugolix, while norethindrone is used to help lessen the risk of cancer of the uterus due to estradiol. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Myfortic,Mycophenolate Sodium,"Mycophenolate is used in combination with other medications to keep your body from attacking and rejecting your transplanted kidney. It belongs to a class of medications called immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new kidney as if it were your own. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Myleran,Busulfan,"Busulfan is used to treat chronic myelogenous leukemia (CML). It does not cure the disease but helps to control it so that your quality of life is improved. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Myobloc,Rimabotulinumtoxinb,"There are different types of botulinum toxin products (toxin A and B) with different uses (eye problems, muscle stiffness/spasms, migraines, cosmetic, overactive bladder). Different brands of this medication deliver different amounts of medication. Your doctor will choose the correct product for you. Botulinum toxin is used to treat certain eye disorders such as crossed eyes (strabismus) and uncontrolled blinking (blepharospasm), to treat muscle stiffness/spasms or movement disorders (such as cervical dystonia, torticollis), and to reduce the cosmetic appearance of wrinkles. It is also used to prevent headaches in people with very frequent migraines. Botulinum toxin relaxes muscle by blocking the release of a chemical called acetylcholine. Botulinum toxin is also used to treat overactive bladder by patients who do not respond to or who cannot tolerate the side effects of other medications. It helps to reduce leaking of urine, feeling of needing to urinate right away, and frequent trips to the bathroom. It is also used to treat severe underarm sweating and drooling/excess saliva. Botulinum toxin works by blocking the chemicals that turn on the sweat and salivary glands. Botulinum toxin is not a cure, and your symptoms will gradually return as the medication wears off. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
